name,founding_yr,parent_company
Nintendo,1889,Null
Game Freak,1989,Null
Rockstar Games,1998,Take-Two Interactive
Take-Two Interactive,1993,Null
Rockstar North,1988,Rockstar Games
Microsoft,1975,Null
2K Games,2005,Take-Two Interactive
MicroProse,1982,Null
Firaxis Games,1996,Take-Two Interactive
Hasbro Interactive,1996,Hasbro
Hasbro,1923,Null
Atari,1983,Null
Sony Interactive Entertainment,2016,Sony Group Corporation
Sony Computer Entertainment,1993,Sony Group Corporation
Sony Group Corporation,1946,Null
Tantalus Media,1994,Keywords Studio
Keywords Studio,1998,Null
HAL Laboratory,1980,Null
Retro Studios,1998,Nintendo
Square Enix,2003,"Square Enix Holdings Co., Ltd."
"Square Enix Holdings Co., Ltd.",2003,Null
Sega,1960,Sega Sammy Holdings Inc.
Sega Sammy Holdings Inc.,2004,Null
Santa Monica Studio,1999,Sony Interactive Entertainment
Bungie,1991,Null
Microsft Game Studios,2002,Microsoft
