company,game
Game Freak,Pokemon Gold 
Game Freak,Pokemon Silver
Rockstar North,Grand Theft Auto: Vice City
Rockstar North,Grand Theft Auto: San Andreas
MicroProse,Sid Meier's Civilization 
Firaxis Games,Sid Meier's Civilization II
Firaxis Games,Sid Meier's Civilization III
Firaxis Games,Sid Meier's Civilization IV
Firaxis Games,Sid Meier's Civilization V
Firaxis Games,Sid Meier's Civilization VI
Nintendo,The Legend of Zelda: Breath of the Wild
Tantalus Media,The Legend of Zelda: Twilight Princess HD
HAL Laboratory,Super Smash Bros. Melee
Retro Studios,Metroid Prime
Nintendo,Super Mario Sunshine
Nintendo,Mario Kart: Double Dash
Square Enix,Crisis Core: Final Fantasy VII
Square Enix,Dissidia Final Fantasy
Nintendo,Metroid  
Nintendo,Metroid II: Return of Samus
Sega,Sonic 1
Sega,Sonic 2
Sega,Sonic CD
Square Enix,Final Fantasy VIII
Square Enix,Final Fantasy IX
Santa Monica Studio,God of War III
Santa Monica Studio,God of War: Ascension
Bungie,Halo: Combat Evolved
Bungie,Halo 2
