Console_Name,Game_Name
PlayStation 2,Grand Theft Auto: Vice City
PlayStation 2,Grand Theft Auto: San Andreas
Xbox,Grand Theft Auto: Vice City
Xbox,Grand Theft Auto: San Andreas
Wii U,The Legend of Zelda: Breath of the Wild
Nintendo Switch,The Legend of Zelda: Breath of the Wild
Wii U,The Legend of Zelda: Twilight Princess HD
GameCube,Super Mario Sunshine
GameCube,Mario Kart: Double Dash
GameCube,Super Smash Bros. Melee
GameCube,Metroid Prime
GameCube,Super Mario Sunshine
GameCube,Mario Kart: Double Dash
PlayStation Portable,Crisis Core: Final Fantasy VII
PlayStation Portable,Dissidia Final Fantasy
Nintendo Entertainment System (NES),Metroid  
PlayStation,Final Fantasy VIII
PlayStation,Final Fantasy IX
PlayStation 3,God of War III
PlayStation 3,God of War: Ascension
Xbox  ,Halo: Combat Evolved
Xbox,Halo 2
